2018-05-16 07:39:12,509 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1_4/model_epoch24.ckpt
2018-05-16 07:47:08,683 INFO Train Epoch 0, Batch 43250 - 43500: RMSE = 0.8633451461791992
2018-05-16 07:47:11,363 INFO Train Epoch 0, Batch 43500 - 43750: RMSE = 0.8143298625946045
2018-05-16 07:47:14,054 INFO Train Epoch 0, Batch 43750 - 44000: RMSE = 0.8242072463035583
2018-05-16 07:47:16,738 INFO Train Epoch 0, Batch 44000 - 44250: RMSE = 0.8232493996620178
2018-05-16 07:47:19,437 INFO Train Epoch 0, Batch 44250 - 44500: RMSE = 0.8750478029251099
2018-05-16 07:47:22,121 INFO Train Epoch 0, Batch 44500 - 44750: RMSE = 0.7928120493888855
2018-05-16 07:47:24,826 INFO Train Epoch 0, Batch 44750 - 45000: RMSE = 0.8974078893661499
2018-05-16 07:47:27,486 INFO Train Epoch 0, Batch 45000 - 45250: RMSE = 0.830937922000885
2018-05-16 07:47:30,190 INFO Train Epoch 0, Batch 45250 - 45500: RMSE = 0.8354169130325317
2018-05-16 07:47:32,885 INFO Train Epoch 0, Batch 45500 - 45750: RMSE = 0.8728987574577332
2018-05-16 07:47:35,577 INFO Train Epoch 0, Batch 45750 - 46000: RMSE = 0.8296146392822266
2018-05-16 07:47:38,232 INFO Train Epoch 0, Batch 46000 - 46250: RMSE = 0.826910138130188
2018-05-16 07:47:40,898 INFO Train Epoch 0, Batch 46250 - 46500: RMSE = 0.8861159682273865
2018-05-16 07:47:43,581 INFO Train Epoch 0, Batch 46500 - 46750: RMSE = 0.9100699424743652
2018-05-16 07:47:46,215 INFO Train Epoch 0, Batch 46750 - 47000: RMSE = 0.8418813347816467
2018-05-16 07:47:48,897 INFO Train Epoch 0, Batch 47000 - 47250: RMSE = 0.878994345664978
2018-05-16 07:47:51,580 INFO Train Epoch 0, Batch 47250 - 47500: RMSE = 0.8251930475234985
2018-05-16 07:47:54,262 INFO Train Epoch 0, Batch 47500 - 47750: RMSE = 0.8644374012947083
2018-05-16 07:47:56,945 INFO Train Epoch 0, Batch 47750 - 48000: RMSE = 0.769025981426239
2018-05-16 07:47:59,622 INFO Train Epoch 0, Batch 48000 - 48250: RMSE = 0.8824787139892578
2018-05-16 07:48:02,337 INFO Train Epoch 0, Batch 48250 - 48500: RMSE = 0.8528435230255127
2018-05-16 07:48:05,006 INFO Train Epoch 0, Batch 48500 - 48750: RMSE = 0.7763743996620178
2018-05-16 07:48:07,662 INFO Train Epoch 0, Batch 48750 - 49000: RMSE = 0.8874068856239319
2018-05-16 07:48:10,360 INFO Train Epoch 0, Batch 49000 - 49250: RMSE = 0.7965711951255798
2018-05-16 07:48:13,060 INFO Train Epoch 0, Batch 49250 - 49500: RMSE = 0.8556195497512817
2018-05-16 07:48:15,726 INFO Train Epoch 0, Batch 49500 - 49750: RMSE = 0.8558922410011292
2018-05-16 07:48:18,419 INFO Train Epoch 0, Batch 49750 - 50000: RMSE = 0.9603493213653564
2018-05-16 07:48:21,134 INFO Train Epoch 0, Batch 50000 - 50250: RMSE = 0.8428525924682617
2018-05-16 07:48:23,807 INFO Train Epoch 0, Batch 50250 - 50500: RMSE = 0.8493016958236694
2018-05-16 07:48:26,483 INFO Train Epoch 0, Batch 50500 - 50750: RMSE = 0.8871612548828125
2018-05-16 07:48:29,187 INFO Train Epoch 0, Batch 50750 - 51000: RMSE = 0.8628126978874207
2018-05-16 07:48:31,883 INFO Train Epoch 0, Batch 51000 - 51250: RMSE = 0.8795316219329834
2018-05-16 07:48:34,575 INFO Train Epoch 0, Batch 51250 - 51500: RMSE = 0.8654736876487732
2018-05-16 07:48:37,245 INFO Train Epoch 0, Batch 51500 - 51750: RMSE = 0.8178516626358032
2018-05-16 07:48:39,952 INFO Train Epoch 0, Batch 51750 - 52000: RMSE = 0.8834559917449951
2018-05-16 07:48:42,623 INFO Train Epoch 0, Batch 52000 - 52250: RMSE = 0.852568507194519
2018-05-16 07:48:45,276 INFO Train Epoch 0, Batch 52250 - 52500: RMSE = 0.8599117398262024
2018-05-16 07:48:47,989 INFO Train Epoch 0, Batch 52500 - 52750: RMSE = 0.8167493343353271
2018-05-16 07:48:50,663 INFO Train Epoch 0, Batch 52750 - 53000: RMSE = 0.8156535625457764
2018-05-16 07:48:53,356 INFO Train Epoch 0, Batch 53000 - 53250: RMSE = 0.8497222065925598
2018-05-16 07:48:56,056 INFO Train Epoch 0, Batch 53250 - 53500: RMSE = 0.8912501335144043
2018-05-16 07:48:58,737 INFO Train Epoch 0, Batch 53500 - 53750: RMSE = 0.889173150062561
2018-05-16 07:49:01,428 INFO Train Epoch 0, Batch 53750 - 54000: RMSE = 0.8978758454322815
2018-05-16 07:49:04,122 INFO Train Epoch 0, Batch 54000 - 54250: RMSE = 0.7891383171081543
2018-05-16 07:49:06,839 INFO Train Epoch 0, Batch 54250 - 54500: RMSE = 0.7965149879455566
2018-05-16 07:49:09,528 INFO Train Epoch 0, Batch 54500 - 54750: RMSE = 0.8869895339012146
2018-05-16 07:49:12,180 INFO Train Epoch 0, Batch 54750 - 55000: RMSE = 0.8205695152282715
2018-05-16 07:49:14,870 INFO Train Epoch 0, Batch 55000 - 55250: RMSE = 0.847358763217926
2018-05-16 07:49:17,573 INFO Train Epoch 0, Batch 55250 - 55500: RMSE = 0.8016353845596313
2018-05-16 07:49:20,256 INFO Train Epoch 0, Batch 55500 - 55750: RMSE = 0.865273654460907
2018-05-16 07:49:22,986 INFO Train Epoch 0, Batch 55750 - 56000: RMSE = 0.8287431001663208
2018-05-16 07:49:25,701 INFO Train Epoch 0, Batch 56000 - 56250: RMSE = 0.8382392525672913
2018-05-16 07:49:28,409 INFO Train Epoch 0, Batch 56250 - 56500: RMSE = 0.8454810380935669
2018-05-16 07:49:31,113 INFO Train Epoch 0, Batch 56500 - 56750: RMSE = 0.8653241395950317
2018-05-16 07:49:33,787 INFO Train Epoch 0, Batch 56750 - 57000: RMSE = 0.8735624551773071
2018-05-16 07:49:36,483 INFO Train Epoch 0, Batch 57000 - 57250: RMSE = 0.8010594248771667
2018-05-16 07:49:39,186 INFO Train Epoch 0, Batch 57250 - 57500: RMSE = 0.8588252663612366
2018-05-16 07:49:41,864 INFO Train Epoch 0, Batch 57500 - 57750: RMSE = 0.8225944638252258
2018-05-16 07:49:44,588 INFO Train Epoch 0, Batch 57750 - 58000: RMSE = 0.9412800073623657
2018-05-16 07:49:47,283 INFO Train Epoch 0, Batch 58000 - 58250: RMSE = 0.8364065885543823
2018-05-16 07:49:49,973 INFO Train Epoch 0, Batch 58250 - 58500: RMSE = 0.8793240189552307
2018-05-16 07:49:52,630 INFO Train Epoch 0, Batch 58500 - 58750: RMSE = 0.8598706722259521
2018-05-16 07:49:55,259 INFO Train Epoch 0, Batch 58750 - 59000: RMSE = 0.8417587280273438
2018-05-16 07:49:57,903 INFO Train Epoch 0, Batch 59000 - 59250: RMSE = 0.852165162563324
2018-05-16 07:50:00,531 INFO Train Epoch 0, Batch 59250 - 59500: RMSE = 0.811309814453125
2018-05-16 07:50:03,140 INFO Train Epoch 0, Batch 59500 - 59750: RMSE = 0.8860645890235901
2018-05-16 07:50:05,770 INFO Train Epoch 0, Batch 59750 - 60000: RMSE = 0.8883198499679565
2018-05-16 07:50:08,370 INFO Train Epoch 0, Batch 60000 - 60250: RMSE = 0.8643423318862915
2018-05-16 07:50:10,970 INFO Train Epoch 0, Batch 60250 - 60500: RMSE = 0.8703723549842834
2018-05-16 07:50:13,584 INFO Train Epoch 0, Batch 60500 - 60750: RMSE = 0.8902897238731384
2018-05-16 07:50:16,200 INFO Train Epoch 0, Batch 60750 - 61000: RMSE = 0.896786630153656
2018-05-16 07:50:18,841 INFO Train Epoch 0, Batch 61000 - 61250: RMSE = 0.8351683020591736
2018-05-16 07:50:21,463 INFO Train Epoch 0, Batch 61250 - 61500: RMSE = 0.9053218960762024
2018-05-16 07:50:24,088 INFO Train Epoch 0, Batch 61500 - 61750: RMSE = 0.8277668356895447
