2018-04-09 14:22:53,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1/model_epoch49.ckpt
2018-04-09 14:56:14,196 INFO Train Epoch 1, Batch 56000 - 57000: RMSE = 0.9503245949745178
2018-04-09 14:56:25,231 INFO Train Epoch 1, Batch 57000 - 58000: RMSE = 0.920056939125061
2018-04-09 14:56:36,173 INFO Train Epoch 1, Batch 58000 - 59000: RMSE = 0.9403268098831177
2018-04-09 14:56:46,921 INFO Train Epoch 1, Batch 59000 - 60000: RMSE = 0.9211297035217285
2018-04-09 14:56:57,593 INFO Train Epoch 1, Batch 60000 - 61000: RMSE = 0.9486596584320068
2018-04-09 14:57:08,333 INFO Train Epoch 1, Batch 61000 - 62000: RMSE = 0.9447541832923889
2018-04-09 14:57:19,003 INFO Train Epoch 1, Batch 62000 - 63000: RMSE = 0.9385625720024109
2018-04-09 14:57:29,760 INFO Train Epoch 1, Batch 63000 - 64000: RMSE = 0.9699035882949829
2018-04-09 14:57:40,503 INFO Train Epoch 1, Batch 64000 - 65000: RMSE = 0.9351032972335815
2018-04-09 14:57:51,274 INFO Train Epoch 1, Batch 65000 - 66000: RMSE = 0.9219249486923218
2018-04-09 14:58:01,923 INFO Train Epoch 1, Batch 66000 - 67000: RMSE = 0.916199803352356
2018-04-09 14:58:12,506 INFO Train Epoch 1, Batch 67000 - 68000: RMSE = 0.9461498260498047
2018-04-09 14:58:23,342 INFO Train Epoch 1, Batch 68000 - 69000: RMSE = 0.9151806831359863
2018-04-09 14:58:33,999 INFO Train Epoch 1, Batch 69000 - 70000: RMSE = 0.9559059143066406
2018-04-09 14:58:44,681 INFO Train Epoch 1, Batch 70000 - 71000: RMSE = 0.9582993388175964
2018-04-09 14:58:55,372 INFO Train Epoch 1, Batch 71000 - 72000: RMSE = 0.923035740852356
2018-04-09 14:59:06,208 INFO Train Epoch 1, Batch 72000 - 73000: RMSE = 0.929668128490448
2018-04-09 14:59:16,925 INFO Train Epoch 1, Batch 73000 - 74000: RMSE = 0.9586524367332458
2018-04-09 14:59:27,533 INFO Train Epoch 1, Batch 74000 - 75000: RMSE = 0.9655701518058777
2018-04-09 14:59:38,253 INFO Train Epoch 1, Batch 75000 - 76000: RMSE = 0.9234998226165771
2018-04-09 14:59:49,138 INFO Train Epoch 1, Batch 76000 - 77000: RMSE = 0.8868328332901001
2018-04-09 15:00:00,194 INFO Train Epoch 1, Batch 77000 - 78000: RMSE = 0.8714045286178589
2018-04-09 15:00:11,137 INFO Train Epoch 1, Batch 78000 - 79000: RMSE = 0.8590471744537354
2018-04-09 15:00:22,093 INFO Train Epoch 1, Batch 79000 - 80000: RMSE = 0.8942863941192627
2018-04-09 15:00:33,089 INFO Train Epoch 1, Batch 80000 - 81000: RMSE = 0.8696709871292114
2018-04-09 15:00:44,195 INFO Train Epoch 1, Batch 81000 - 82000: RMSE = 0.8766351938247681
2018-04-09 15:00:55,133 INFO Train Epoch 1, Batch 82000 - 83000: RMSE = 0.8662639260292053
2018-04-09 15:01:06,179 INFO Train Epoch 1, Batch 83000 - 84000: RMSE = 0.8724284172058105
2018-04-09 15:01:17,183 INFO Train Epoch 1, Batch 84000 - 85000: RMSE = 0.8776466250419617
2018-04-09 15:01:28,282 INFO Train Epoch 1, Batch 85000 - 86000: RMSE = 0.8922179937362671
2018-04-09 15:01:39,276 INFO Train Epoch 1, Batch 86000 - 87000: RMSE = 0.867430567741394
2018-04-09 15:01:50,277 INFO Train Epoch 1, Batch 87000 - 88000: RMSE = 0.8863896727561951
2018-04-09 15:02:01,201 INFO Train Epoch 1, Batch 88000 - 89000: RMSE = 0.8666791915893555
2018-04-09 15:02:12,256 INFO Train Epoch 1, Batch 89000 - 90000: RMSE = 0.871820867061615
2018-04-09 15:02:23,205 INFO Train Epoch 1, Batch 90000 - 91000: RMSE = 0.8932501673698425
2018-04-09 15:02:34,112 INFO Train Epoch 1, Batch 91000 - 92000: RMSE = 0.851041853427887
2018-04-09 15:02:45,042 INFO Train Epoch 1, Batch 92000 - 93000: RMSE = 0.8713234663009644
2018-04-09 15:02:55,955 INFO Train Epoch 1, Batch 93000 - 94000: RMSE = 0.8751941323280334
2018-04-09 15:03:06,991 INFO Train Epoch 1, Batch 94000 - 95000: RMSE = 0.9041977524757385
2018-04-09 15:03:18,038 INFO Train Epoch 1, Batch 95000 - 96000: RMSE = 0.8556002378463745
2018-04-09 15:03:29,040 INFO Train Epoch 1, Batch 96000 - 97000: RMSE = 0.8899271488189697
2018-04-09 15:03:39,916 INFO Train Epoch 1, Batch 97000 - 98000: RMSE = 0.8806464076042175
2018-04-09 15:03:50,997 INFO Train Epoch 1, Batch 98000 - 99000: RMSE = 0.8543835878372192
2018-04-09 15:04:01,971 INFO Train Epoch 1, Batch 99000 - 100000: RMSE = 0.9181442856788635
2018-04-09 15:04:12,916 INFO Train Epoch 1, Batch 100000 - 101000: RMSE = 0.8807047605514526
2018-04-09 15:04:23,894 INFO Train Epoch 1, Batch 101000 - 102000: RMSE = 0.8924332857131958
2018-04-09 15:04:34,933 INFO Train Epoch 1, Batch 102000 - 103000: RMSE = 0.8691827654838562
2018-04-09 15:04:46,007 INFO Train Epoch 1, Batch 103000 - 104000: RMSE = 0.8580401539802551
2018-04-09 15:04:56,970 INFO Train Epoch 1, Batch 104000 - 105000: RMSE = 0.888553261756897
2018-04-09 15:05:07,952 INFO Train Epoch 1, Batch 105000 - 106000: RMSE = 0.87503981590271
2018-04-09 15:05:18,873 INFO Train Epoch 1, Batch 106000 - 107000: RMSE = 0.8595343232154846
2018-04-09 15:05:29,823 INFO Train Epoch 1, Batch 107000 - 108000: RMSE = 0.9038609266281128
2018-04-09 15:05:40,740 INFO Train Epoch 1, Batch 108000 - 109000: RMSE = 0.8744056820869446
2018-04-09 15:05:51,645 INFO Train Epoch 1, Batch 109000 - 110000: RMSE = 0.8725961446762085
2018-04-09 15:06:02,422 INFO Train Epoch 1, Batch 110000 - 111000: RMSE = 0.8489739298820496
2018-04-09 15:06:13,302 INFO Train Epoch 1, Batch 111000 - 112000: RMSE = 0.9006966948509216
2018-04-09 15:06:24,173 INFO Train Epoch 1, Batch 112000 - 113000: RMSE = 0.8549462556838989
2018-04-09 15:06:34,927 INFO Train Epoch 1, Batch 113000 - 114000: RMSE = 0.8821952939033508
2018-04-09 15:06:45,759 INFO Train Epoch 1, Batch 114000 - 115000: RMSE = 0.8835325241088867
2018-04-09 15:06:56,514 INFO Train Epoch 1, Batch 115000 - 116000: RMSE = 0.8858949542045593
2018-04-09 15:07:07,397 INFO Train Epoch 1, Batch 116000 - 117000: RMSE = 0.8890336751937866
