2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 12:05:46,729 INFO Train Epoch 1, Batch 94000 - 95000: RMSE = 0.8705986738204956
2018-05-08 12:05:57,070 INFO Train Epoch 1, Batch 95000 - 96000: RMSE = 0.8253640532493591
2018-05-08 12:06:07,290 INFO Train Epoch 1, Batch 96000 - 97000: RMSE = 0.8502053022384644
2018-05-08 12:06:17,435 INFO Train Epoch 1, Batch 97000 - 98000: RMSE = 0.8014465570449829
2018-05-08 12:06:27,651 INFO Train Epoch 1, Batch 98000 - 99000: RMSE = 0.8447653651237488
2018-05-08 12:06:37,842 INFO Train Epoch 1, Batch 99000 - 100000: RMSE = 0.8606756925582886
2018-05-08 12:06:48,187 INFO Train Epoch 1, Batch 100000 - 101000: RMSE = 0.8600507974624634
2018-05-08 12:06:58,369 INFO Train Epoch 1, Batch 101000 - 102000: RMSE = 0.8433864116668701
2018-05-08 12:07:08,627 INFO Train Epoch 1, Batch 102000 - 103000: RMSE = 0.829382061958313
2018-05-08 12:07:18,781 INFO Train Epoch 1, Batch 103000 - 104000: RMSE = 0.8217296004295349
2018-05-08 12:07:28,983 INFO Train Epoch 1, Batch 104000 - 105000: RMSE = 0.8516835570335388
2018-05-08 12:07:39,227 INFO Train Epoch 1, Batch 105000 - 106000: RMSE = 0.8436987996101379
2018-05-08 12:07:49,386 INFO Train Epoch 1, Batch 106000 - 107000: RMSE = 0.8195697665214539
2018-05-08 12:07:59,544 INFO Train Epoch 1, Batch 107000 - 108000: RMSE = 0.85910964012146
2018-05-08 12:08:09,657 INFO Train Epoch 1, Batch 108000 - 109000: RMSE = 0.8513569831848145
2018-05-08 12:08:19,883 INFO Train Epoch 1, Batch 109000 - 110000: RMSE = 0.8401023149490356
2018-05-08 12:08:29,898 INFO Train Epoch 1, Batch 110000 - 111000: RMSE = 0.8197957277297974
2018-05-08 12:08:40,012 INFO Train Epoch 1, Batch 111000 - 112000: RMSE = 0.8694453239440918
