2018-04-11 10:46:04,629 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1/model_epoch49.ckpt
2018-04-11 10:54:29,327 INFO Train Epoch 1, Batch 90000 - 91000: RMSE = 1.0414507389068604
2018-04-11 10:54:31,643 INFO Train Epoch 1, Batch 91000 - 92000: RMSE = 0.9995078444480896
2018-04-11 10:54:33,970 INFO Train Epoch 1, Batch 92000 - 93000: RMSE = 1.0060579776763916
2018-04-11 10:54:36,272 INFO Train Epoch 1, Batch 93000 - 94000: RMSE = 1.0134835243225098
2018-04-11 10:54:38,602 INFO Train Epoch 1, Batch 94000 - 95000: RMSE = 1.045509934425354
2018-04-11 10:54:40,928 INFO Train Epoch 1, Batch 95000 - 96000: RMSE = 0.975538432598114
2018-04-11 10:54:43,236 INFO Train Epoch 1, Batch 96000 - 97000: RMSE = 1.0079972743988037
2018-04-11 10:54:45,544 INFO Train Epoch 1, Batch 97000 - 98000: RMSE = 1.0026757717132568
2018-04-11 10:54:47,858 INFO Train Epoch 1, Batch 98000 - 99000: RMSE = 1.0040780305862427
2018-04-11 10:54:50,187 INFO Train Epoch 1, Batch 99000 - 100000: RMSE = 1.0124974250793457
2018-04-11 10:54:52,503 INFO Train Epoch 1, Batch 100000 - 101000: RMSE = 1.0212655067443848
2018-04-11 10:54:54,814 INFO Train Epoch 1, Batch 101000 - 102000: RMSE = 1.0168757438659668
2018-04-11 10:54:57,134 INFO Train Epoch 1, Batch 102000 - 103000: RMSE = 1.0229594707489014
2018-04-11 10:54:59,452 INFO Train Epoch 1, Batch 103000 - 104000: RMSE = 0.9692957997322083
2018-04-11 10:55:01,769 INFO Train Epoch 1, Batch 104000 - 105000: RMSE = 1.0524775981903076
2018-04-11 10:55:04,087 INFO Train Epoch 1, Batch 105000 - 106000: RMSE = 1.0152828693389893
2018-04-11 10:55:06,412 INFO Train Epoch 1, Batch 106000 - 107000: RMSE = 1.0203518867492676
2018-04-11 10:55:08,721 INFO Train Epoch 1, Batch 107000 - 108000: RMSE = 0.9822074770927429
2018-04-11 10:55:11,023 INFO Train Epoch 1, Batch 108000 - 109000: RMSE = 1.0243114233016968
2018-04-11 10:55:13,330 INFO Train Epoch 1, Batch 109000 - 110000: RMSE = 1.0237936973571777
2018-04-11 10:55:15,647 INFO Train Epoch 1, Batch 110000 - 111000: RMSE = 1.0269205570220947
2018-04-11 10:55:17,975 INFO Train Epoch 1, Batch 111000 - 112000: RMSE = 1.0350085496902466
2018-04-11 10:55:20,285 INFO Train Epoch 1, Batch 112000 - 113000: RMSE = 1.0381234884262085
2018-04-11 10:55:22,595 INFO Train Epoch 1, Batch 113000 - 114000: RMSE = 1.0335681438446045
2018-04-11 10:55:24,909 INFO Train Epoch 1, Batch 114000 - 115000: RMSE = 1.0584337711334229
2018-04-11 10:55:27,230 INFO Train Epoch 1, Batch 115000 - 116000: RMSE = 1.044101595878601
2018-04-11 10:55:29,534 INFO Train Epoch 1, Batch 116000 - 117000: RMSE = 1.0217355489730835
2018-04-11 10:55:31,845 INFO Train Epoch 1, Batch 117000 - 118000: RMSE = 1.0017731189727783
2018-04-11 10:55:34,158 INFO Train Epoch 1, Batch 118000 - 119000: RMSE = 1.022852897644043
2018-04-11 10:55:36,473 INFO Train Epoch 1, Batch 119000 - 120000: RMSE = 1.0301992893218994
2018-04-11 10:55:38,790 INFO Train Epoch 1, Batch 120000 - 121000: RMSE = 1.0783207416534424
2018-04-11 10:55:41,119 INFO Train Epoch 1, Batch 121000 - 122000: RMSE = 1.0194907188415527
2018-04-11 10:55:41,962 INFO Train Epoch 1, Batch 122000 - 122358: RMSE = 1.087315320968628
2018-04-11 10:55:46,778 INFO Eval Epoch 1, Batch 0 - 1000: RMSE = 1.0425795153840485
2018-04-11 10:55:49,136 INFO Train Epoch 2, Batch 0 - 1000: RMSE = 1.037806510925293
