2018-05-11 06:31:55,194 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/ascii_run_1_5/model_epoch24.ckpt
2018-05-11 06:34:23,784 INFO Train Epoch 0, Batch 59750 - 60000: RMSE = 0.976036548614502
2018-05-11 06:34:24,383 INFO Train Epoch 0, Batch 60000 - 60250: RMSE = 0.9347907304763794
2018-05-11 06:34:24,986 INFO Train Epoch 0, Batch 60250 - 60500: RMSE = 0.9204544425010681
2018-05-11 06:34:25,592 INFO Train Epoch 0, Batch 60500 - 60750: RMSE = 1.0038400888442993
2018-05-11 06:34:26,194 INFO Train Epoch 0, Batch 60750 - 61000: RMSE = 0.9501211643218994
2018-05-11 06:34:26,789 INFO Train Epoch 0, Batch 61000 - 61250: RMSE = 0.8997293710708618
2018-05-11 06:34:27,389 INFO Train Epoch 0, Batch 61250 - 61500: RMSE = 0.9158488512039185
2018-05-11 06:34:27,998 INFO Train Epoch 0, Batch 61500 - 61750: RMSE = 0.9260621666908264
2018-05-11 06:34:28,604 INFO Train Epoch 0, Batch 61750 - 62000: RMSE = 0.9977253079414368
2018-05-11 06:34:29,202 INFO Train Epoch 0, Batch 62000 - 62250: RMSE = 0.9439688324928284
2018-05-11 06:34:29,795 INFO Train Epoch 0, Batch 62250 - 62500: RMSE = 0.9514912962913513
2018-05-11 06:34:30,394 INFO Train Epoch 0, Batch 62500 - 62750: RMSE = 1.0551552772521973
2018-05-11 06:34:30,993 INFO Train Epoch 0, Batch 62750 - 63000: RMSE = 0.9088641405105591
2018-05-11 06:34:31,599 INFO Train Epoch 0, Batch 63000 - 63250: RMSE = 0.9745090007781982
